                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                    nan,                0.08448,                0.49414,                    nan,                    0.1,                    0.1,                    0.1
                      1,                    nan,                0.08448,                0.49414,                    nan,                    0.1,                    0.1,                    0.1
                      2,                    nan,                0.08448,                0.49414,                    nan,                 0.0901,                 0.0901,                 0.0901
                      3,                    nan,                0.08448,                0.49414,                    nan,                 0.0802,                 0.0802,                 0.0802
                      4,                    nan,                0.08448,                0.49414,                    nan,                 0.0703,                 0.0703,                 0.0703
                      5,                    nan,                0.08448,                0.49414,                    nan,                 0.0604,                 0.0604,                 0.0604
                      6,                    nan,                0.08448,                0.49414,                    nan,                 0.0505,                 0.0505,                 0.0505
                      7,                    nan,                0.08448,                0.49414,                    nan,                 0.0406,                 0.0406,                 0.0406
                      8,                    nan,                0.08448,                0.49414,                    nan,                 0.0307,                 0.0307,                 0.0307
                      9,                    nan,                0.08448,                0.49414,                    nan,                 0.0208,                 0.0208,                 0.0208
